Transcript	150904CM018-B_al_sorted.bam	150904CM018-W_al_sorted.bam	150904CM763-B_al_sorted.bam	150904CM763-W_al_sorted.bam	150904CM764-B_al_sorted.bam
CNAG_00371T0	4	263.0	218.0	17.0	26.0
CNAG_00372T0	16	1019.0	1441.0	84.0	210.0
CNAG_00373T0	11	1080.0	688.0	75.0	110.0
CNAG_00374T0	6	716.0	828.0	48.0	155.0
CNAG_00375T0	29	790.0	2232.0	87.0	308.0
CNAG_00376T0	25	358.0	4589.0	55.0	689.0
CNAG_00377T0	26	462.0	2426.0	81.0	445.0
CNAG_00377T1	26	462.0	2426.0	81.0	445.0
CNAG_00378T0	2	20.0	58.0	1.0	5.0
CNAG_00383T0	61	1427.0	4922.0	111.0	1001.0
CNAG_00384T0	6	274.0	683.0	23.0	114.0
CNAG_00385T0	23	2199.0	2082.0	197.0	352.0
CNAG_00386T0	33	1546.0	2353.0	195.0	327.0
CNAG_00387T0	15	349.0	1324.0	45.0	247.0
CNAG_00388T0	32	1151.0	3000.0	113.0	448.0
CNAG_00389T0	8	1565.0	1030.0	116.0	168.0
CNAG_00390T0	19	598.0	1015.0	40.0	215.0
CNAG_00391T0	6	593.0	504.0	58.0	64.0
CNAG_00392T0	9	241.0	1110.0	21.0	144.0
CNAG_00392T1	8	205.0	1075.0	19.0	141.0
CNAG_00393T0	119	4050.0	10413.0	174.0	2527.0
CNAG_00394T0	2	243.0	152.0	30.0	21.0
CNAG_00395T0	13	483.0	1218.0	53.0	181.0
CNAG_00396T0	32	993.0	3158.0	61.0	690.0
CNAG_00398T0	9	902.0	760.0	51.0	169.0
CNAG_00399T0	27	1032.0	3779.0	122.0	503.0
CNAG_00400T0	22	2914.0	1916.0	226.0	356.0
CNAG_00400T1	18	2405.0	1806.0	189.0	330.0
CNAG_00401T0	6	635.0	583.0	83.0	71.0
CNAG_00402T0	138	4407.0	4468.0	269.0	1049.0
CNAG_00403T0	4	584.0	165.0	33.0	41.0
CNAG_00404T0	10	466.0	589.0	31.0	113.0
CNAG_00405T0	25	1191.0	2169.0	65.0	345.0
CNAG_00406T0	5	211.0	266.0	31.0	37.0
CNAG_00407T0	851	43696.0	46662.0	769.0	20419.0
CNAG_00408T0	21	553.0	1965.0	60.0	392.0
CNAG_00409T0	31	2391.0	1025.0	128.0	209.0
CNAG_00410T0	46	2007.0	3174.0	137.0	548.0
CNAG_00411T0	28	922.0	1426.0	101.0	188.0
CNAG_00413T0	73	6334.0	2226.0	221.0	520.0
CNAG_00414T0	22	577.0	2339.0	42.0	490.0
CNAG_00415T0	2	315.0	471.0	26.0	60.0
CNAG_00416T0	9	270.0	785.0	20.0	130.0
CNAG_00417T0	342	14603.0	5778.0	1494.0	1185.0
CNAG_00418T0	46	2225.0	2117.0	238.0	328.0
CNAG_00419T0	3	113.0	561.0	6.0	48.0
CNAG_00420T0	5	432.0	420.0	25.0	86.0
CNAG_00421T0	14	1091.0	1594.0	64.0	356.0
CNAG_00422T0	22	1127.0	1760.0	48.0	391.0
CNAG_00422T1	22	1127.0	1760.0	48.0	391.0
CNAG_00423T0	3	115.0	169.0	15.0	27.0
CNAG_00424T0	42	2331.0	2901.0	140.0	579.0
CNAG_00425T0	1	21.0	36.0	2.0	5.0
CNAG_00426T0	37	3195.0	1172.0	144.0	223.0
CNAG_00427T0	21	2228.0	1192.0	107.0	205.0
CNAG_00428T0	7	557.0	257.0	42.0	52.0
CNAG_00429T0	5	178.0	133.0	12.0	12.0
CNAG_00430T0	1	65.0	10.0	5.0	2.0
CNAG_00433T0	3	121.0	152.0	7.0	23.0
CNAG_00434T0	5	611.0	215.0	49.0	37.0
CNAG_00435T0	3	142.0	146.0	8.0	27.0
CNAG_00436T0	35	955.0	4496.0	78.0	776.0
CNAG_00437T0	6	219.0	109.0	10.0	16.0
CNAG_00438T0	8	586.0	514.0	32.0	95.0
CNAG_00439T0	36	1045.0	4416.0	100.0	701.0
CNAG_00440T0	2	183.0	173.0	19.0	25.0
CNAG_00441T0	50	4399.0	2227.0	491.0	367.0
CNAG_00442T0	25	965.0	1194.0	76.0	254.0
CNAG_00443T0	4	50.0	521.0	9.0	110.0
CNAG_00444T0	1	74.0	154.0	16.0	28.0
CNAG_00445T0	51	2414.0	3941.0	116.0	928.0
CNAG_00447T0	37	3057.0	3043.0	293.0	727.0
CNAG_00448T0	24	3650.0	900.0	271.0	223.0
CNAG_00449T0	7	319.0	268.0	33.0	40.0
CNAG_00449T1	7	319.0	268.0	33.0	40.0
CNAG_00450T0	67	5879.0	3343.0	367.0	851.0
CNAG_00451T0	2	144.0	247.0	12.0	35.0
CNAG_00452T0	1	57.0	78.0	15.0	15.0
CNAG_00453T0	325	18313.0	23343.0	563.0	10478.0
CNAG_00454T0	17	956.0	1902.0	22.0	921.0
CNAG_00455T0	7	363.0	522.0	39.0	77.0
CNAG_00456T0	33	1559.0	1070.0	59.0	337.0
CNAG_00457T0	244	22151.0	14344.0	1427.0	3947.0
CNAG_00457T1	244	22151.0	14344.0	1427.0	3947.0
CNAG_00458T0	11	1180.0	1580.0	124.0	216.0
CNAG_00458T1	11	1180.0	1580.0	124.0	216.0
CNAG_00460T0	6	347.0	112.0	25.0	25.0
CNAG_00461T0	23	1495.0	1765.0	104.0	325.0
CNAG_00462T0	43	2197.0	1974.0	114.0	297.0
CNAG_00463T0	2	68.0	416.0	6.0	81.0
CNAG_00464T0	81	2744.0	5701.0	189.0	1124.0
CNAG_00465T0	51	10214.0	2369.0	373.0	585.0
CNAG_00466T0	10	1245.0	506.0	90.0	67.0
CNAG_00467T0	10	275.0	858.0	21.0	123.0
CNAG_00467T1	10	275.0	858.0	21.0	123.0
CNAG_00468T0	31	2875.0	1784.0	98.0	370.0
CNAG_00469T0	13	1990.0	869.0	81.0	261.0
CNAG_00470T0	11	1116.0	693.0	88.0	134.0
CNAG_00471T0	18	1576.0	556.0	139.0	109.0
CNAG_00472T0	1	230.0	188.0	18.0	33.0
CNAG_00473T0	15	1528.0	421.0	150.0	106.0
CNAG_00474T0	8	279.0	754.0	29.0	201.0
CNAG_00475T0	14	734.0	671.0	24.0	112.0
CNAG_00476T0	3	78.0	281.0	9.0	37.0
CNAG_00480T0	11	2114.0	381.0	92.0	116.0
CNAG_00481T0	1	24.0	53.0	4.0	9.0
CNAG_00482T0	63	5151.0	1921.0	293.0	388.0
CNAG_00483T0	434	27687.0	8737.0	1829.0	2446.0
CNAG_00484T0	32	2131.0	1824.0	48.0	546.0
CNAG_00485T0	75	7379.0	4647.0	182.0	1859.0
CNAG_00486T0	13	2466.0	827.0	124.0	245.0
CNAG_00487T0	7	256.0	688.0	17.0	256.0
CNAG_00488T0	3	228.0	497.0	18.0	66.0
CNAG_00488T1	3	228.0	497.0	18.0	66.0
CNAG_00490T0	20	1055.0	921.0	42.0	219.0
CNAG_00491T0	16	1574.0	1214.0	87.0	330.0
CNAG_00492T0	3	24.0	256.0	5.0	71.0
CNAG_00493T0	54	778.0	3164.0	38.0	1188.0
CNAG_00495T0	5	384.0	210.0	21.0	27.0
CNAG_00496T0	13	919.0	1850.0	67.0	364.0
CNAG_00497T0	69	2895.0	2288.0	148.0	526.0
CNAG_00498T0	17	419.0	1300.0	27.0	218.0
CNAG_00499T0	8	803.0	560.0	48.0	98.0
CNAG_00500T0	36	2349.0	3510.0	161.0	715.0
CNAG_00501T0	1	49.0	73.0	7.0	10.0
CNAG_00502T0	7	713.0	364.0	69.0	85.0
CNAG_00503T0	9	493.0	696.0	47.0	147.0
CNAG_00504T0	13	1190.0	423.0	71.0	73.0
CNAG_00505T0	6	232.0	1255.0	46.0	189.0
CNAG_00506T0	4	324.0	151.0	22.0	31.0
CNAG_00508T0	41	1451.0	2054.0	79.0	407.0
CNAG_00509T0	25	4636.0	1314.0	413.0	261.0
CNAG_00510T0	10	862.0	413.0	89.0	52.0
CNAG_00511T0	2	57.0	359.0	6.0	56.0
CNAG_00512T0	36	2407.0	2070.0	150.0	401.0
CNAG_00513T0	3	188.0	167.0	33.0	26.0
CNAG_00514T0	16	618.0	644.0	38.0	144.0
CNAG_00515T0	6	563.0	633.0	22.0	192.0
